,id,tags
160,53139481591.0,"['CCJ', 'ComissÃ£o de ConstituiÃ§Ã£o JustiÃ§a e Cidadania', '22Âª reuniÃ£o', 'reuniÃ£o ordinÃ¡ria', 'Senado Federal', 'Proposta de Emenda Ã  ConstituiÃ§Ã£o', 'PEC 10/2022', 'plasma humano', 'PL 723/2019', 'automedicaÃ§Ã£o', 'PL 2.254/2022', 'pena', 'crime de extorsÃ£o', 'senador Davi Alcolumbre (UniÃ£o-AP)', 'senador Marcos RogÃ©rio (PL-RO)', 'senador EsperidiÃ£o Amin (PP-SC)', 'senador Marcos do Val (Podemos-ES)', 'senador Sergio Moro (UniÃ£o-PR)', 'senador PlÃ-nio ValÃ©rio (PSDB-AM)', 'senador Mecias de Jesus (Republicanos-RR)', 'senador Nelsinho Trad (PSD-MS)', 'senador Fabiano Contarato (PT-ES)', 'senador Alessandro Vieira (MDB-SE)', 'senador Jorge Seif (PL-SC)', 'senador Eduardo GirÃ£o (Novo-CE)', 'senadora Professora Dorinha Seabra (UniÃ£o-TO)', 'senador LaÃ©rcio Oliveira (PP-SE)', 'senador RogÃ©rio Carvalho (PT-SE)', 'senador Astronauta Marcos Pontes (PL-SP)', 'senador Humberto Costa (PT-PE)', 'senador Otto Alencar (PSD-BA)', 'senadora Zenaide Maia (PSD-RN)', 'senador Carlos Portinho (PL-RJ)', 'senador Hamilton MourÃ£o (Republicanos-RS)', 'senador FlÃ¡vio Bolsonaro (PL-RJ)', 'BrasÃ-lia', 'DF', 'Brasil', 'Comissão de Constituição Justiça e Cidadania', '22ª reunião', 'reunião ordinária', 'Proposta de Emenda à Constituição', 'automedicação', 'crime de extorsão', 'senador Davi Alcolumbre (União-AP)', 'senador Marcos Rogério (PL-RO)', 'senador Esperidião Amin (PP-SC)', 'senador Sergio Moro (União-PR)', 'senador Plínio Valério (PSDB-AM)', 'senador Eduardo Girão (Novo-CE)', 'senadora Professora Dorinha Seabra (União-TO)', 'senador Laércio Oliveira (PP-SE)', 'senador Rogério Carvalho (PT-SE)', 'senador Hamilton Mourão (Republicanos-RS)', 'senador Flávio Bolsonaro (PL-RJ)']"
161,53137359064.0,"['CCJ', 'Comissão de Constituição Justiça e Cidadania', '22ª reunião', 'reunião ordinária', 'Senado Federal', 'Proposta de Emenda à Constituição', 'PEC 10/2022', 'plasma humano', 'PL 723/2019', 'automedicação', 'PL 2.254/2022', 'pena', 'crime de extorsão', 'senador Marcos Rogério (PL-RO)', 'senador Eduardo Girão (Novo-CE)', 'Brasília', 'DF', 'Brasil']"
162,53137565275.0,"['CCJ', 'Comissão de Constituição Justiça e Cidadania', '22ª reunião', 'reunião ordinária', 'Senado Federal', 'Proposta de Emenda à Constituição', 'PEC 10/2022', 'plasma humano', 'PL 723/2019', 'automedicação', 'PL 2.254/2022', 'pena', 'crime de extorsão', 'senador Carlos Portinho (PL-RJ)', 'Brasília', 'DF', 'Brasil']"
163,53137565265.0,"['CCJ', 'Comissão de Constituição Justiça e Cidadania', '22ª reunião', 'reunião ordinária', 'Senado Federal', 'Proposta de Emenda à Constituição', 'PEC 10/2022', 'plasma humano', 'PL 723/2019', 'automedicação', 'PL 2.254/2022', 'pena', 'crime de extorsão', 'senador Efraim Filho (União-PB)', 'Brasília', 'DF', 'Brasil']"
164,53137633138.0,"['CCJ', 'Comissão de Constituição Justiça e Cidadania', '22ª reunião', 'reunião ordinária', 'Senado Federal', 'Proposta de Emenda à Constituição', 'PEC 10/2022', 'plasma humano', 'PL 723/2019', 'automedicação', 'PL 2.254/2022', 'pena', 'crime de extorsão', 'senador Marcos Rogério (PL-RO)', 'senador Magno Malta (PL-ES)', 'Brasília', 'DF', 'Brasil']"
165,53136560722.0,"['CCJ', 'Comissão de Constituição Justiça e Cidadania', '22ª reunião', 'reunião ordinária', 'Senado Federal', 'Proposta de Emenda à Constituição', 'PEC 10/2022', 'plasma humano', 'PL 723/2019', 'automedicação', 'PL 2.254/2022', 'pena', 'crime de extorsão', 'senador Marcos Rogério (PL-RO)', 'senador Eduardo Girão (Novo-CE)', 'Brasília', 'DF', 'Brasil']"
166,53137565195.0,"['CCJ', 'Comissão de Constituição Justiça e Cidadania', '22ª reunião', 'reunião ordinária', 'Senado Federal', 'Proposta de Emenda à Constituição', 'PEC 10/2022', 'plasma humano', 'PL 723/2019', 'automedicação', 'PL 2.254/2022', 'pena', 'crime de extorsão', 'senador Davi Alcolumbre (União-AP)', 'senador Marcos Rogério (PL-RO)', 'senador Magno Malta (PL-ES)', 'Brasília', 'DF', 'Brasil']"
167,53137358914.0,"['CCJ', 'Comissão de Constituição Justiça e Cidadania', '22ª reunião', 'reunião ordinária', 'Senado Federal', 'Proposta de Emenda à Constituição', 'PEC 10/2022', 'plasma humano', 'PL 723/2019', 'automedicação', 'PL 2.254/2022', 'pena', 'crime de extorsão', 'senadora Augusta Brito (PT-CE)', 'Brasília', 'DF', 'Brasil']"
168,53136923551.0,"['CCJ', 'Comissão de Constituição Justiça e Cidadania', '22ª reunião', 'reunião ordinária', 'Senado Federal', 'Proposta de Emenda à Constituição', 'PEC 10/2022', 'plasma humano', 'PL 723/2019', 'automedicação', 'PL 2.254/2022', 'pena', 'crime de extorsão', 'senadora Augusta Brito (PT-CE)', 'Brasília', 'DF', 'Brasil']"
169,53137328845.0,"['CCJ', 'Comissão de Constituição Justiça e Cidadania', '22ª reunião', 'reunião ordinária', 'Senado Federal', 'Proposta de Emenda à Constituição', 'PEC 10/2022', 'plasma humano', 'PL 723/2019', 'automedicação', 'PL 2.254/2022', 'pena', 'crime de extorsão', 'senadora Augusta Brito (PT-CE)', 'senadora Ana Paula Lobato (PSB-MA)', 'Brasília', 'DF', 'Brasil']"
170,53136923461.0,"['CCJ', 'Comissão de Constituição Justiça e Cidadania', '22ª reunião', 'reunião ordinária', 'Senado Federal', 'Proposta de Emenda à Constituição', 'PEC 10/2022', 'plasma humano', 'PL 723/2019', 'automedicação', 'PL 2.254/2022', 'pena', 'crime de extorsão', 'senadora Ana Paula Lobato (PSB-MA)', 'senadora Professora Dorinha Seabra (União-TO)', 'senador Marcos Rogério (PL-RO)', 'Brasília', 'DF', 'Brasil']"
171,53137124549.0,"['CCJ', 'Comissão de Constituição Justiça e Cidadania', '22ª reunião', 'reunião ordinária', 'Senado Federal', 'Proposta de Emenda à Constituição', 'PEC 10/2022', 'plasma humano', 'PL 723/2019', 'automedicação', 'PL 2.254/2022', 'pena', 'crime de extorsão', 'senadora Ana Paula Lobato (PSB-MA)', 'senadora Professora Dorinha Seabra (União-TO)', 'senador Marcos Rogério (PL-RO)', 'Brasília', 'DF', 'Brasil']"
